id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6162,"г. Хабаровск, ул. Королева, д. 8б",0,48321,4572.8,,,,
6163,"г. Хабаровск, ул. Королева, д. 9",0,46640,2985.8,,,,
6164,"г. Хабаровск, ул. Космическая, д. 11",0,42243,3332.4,,,,
6165,"г. Хабаровск, ул. Космическая, д. 13",0,72866,4550.6,,,,
6166,"г. Хабаровск, ул. Космическая, д. 13а",0,44866,4542,,,,
6167,"г. Хабаровск, ул. Космическая, д. 13б",6,37489,4577.6,,,,
6168,"г. Хабаровск, ул. Космическая, д. 13в",0,45040,4545.3,,,,
6169,"г. Хабаровск, ул. Космическая, д. 13г",0,73235,4546.5,,,,
6170,"г. Хабаровск, ул. Космическая, д. 15",0,80015,4546,,,,
6171,"г. Хабаровск, ул. Космическая, д. 17",0,91243,4567.2,,,,
6172,"г. Хабаровск, ул. Космическая, д. 3",0,35265,3350,,,,
6173,"г. Хабаровск, ул. Космическая, д. 5",7,59600,4566.9,,,,
6174,"г. Хабаровск, ул. Космическая, д. 5а",0,92072,4561.7,,,,
6175,"г. Хабаровск, ул. Космическая, д. 5б",0,94207,4564.7,,,,
6176,"г. Хабаровск, ул. Космическая, д. 5в",0,44204,4577.4,,,,
6177,"г. Хабаровск, ул. Космическая, д. 9",0,54397,4577.5,,,,
6178,"г. Хабаровск, ул. Космическая, д. 9а",0,81776,3329.2,,,,
6179,"г. Хабаровск, ул. Космическая, д. 9б",0,93158,4560.4,,,,
6180,"г. Хабаровск, ул. Космическая, д. 9в",0,53249,4563.8,,,,
6181,"г. Хабаровск, ул. Костромская, д. 46",0,46984,3463.5,,,,
6182,"г. Хабаровск, ул. Костромская, д. 46а",0,38262,5307.73,,,,
6183,"г. Хабаровск, ул. Костромская, д. 46б",3,74309,7271.2,,,,
6184,"г. Хабаровск, ул. Костромская, д. 48",0,36779,3603.8,,,,
6185,"г. Хабаровск, ул. Костромская, д. 48А",0,104801,11883.1,,,,
6186,"г. Хабаровск, ул. Костромская, д. 48б",0,60788,5727.2,,,,
6187,"г. Хабаровск, ул. Костромская, д. 50",0,32194,3591.1,,,,
6188,"г. Хабаровск, ул. Костромская, д. 52",0,73174,3568.9,,,,
6189,"г. Хабаровск, ул. Костромская, д. 54",0,82989,7536.7,,,,
6190,"г. Хабаровск, ул. Костромская, д. 56",0,61342,7626.9,,,,
6191,"г. Хабаровск, ул. Костромская, д. 58",0,123474,7441.5,,,,
6192,"г. Хабаровск, ул. Кочнева, д. 14 Е",4,23211,833,,,,
6193,"г. Хабаровск, ул. Кочнева, д. 14Д-1",0,65334,2063,,,,
6194,"г. Хабаровск, ул. Кочнева, д. 14Д-2",0,47953,4133,,,,
6195,"г. Хабаровск, ул. Кочнева, д. 16А",0,9273,111.1,,,,
6196,"г. Хабаровск, ул. Кочнева, д. 1а",0,69109,2182.1,,,,
6197,"г. Хабаровск, ул. Кочнева, д. 6",0,28495,2402.6,,,,
6198,"г. Хабаровск, ул. Кочнева, д. 8",0,53526,1596,,,,
6199,"г. Хабаровск, ул. Красина, д. 5",0,62286,1930.9,,,,
6200,"г. Хабаровск, ул. Красина, д. 5а",0,63887,2165.9,,,,
6201,"г. Хабаровск, ул. Красноармейская, д. 26",2,36658,682.7,,,,
6202,"г. Хабаровск, ул. Красноармейская, д. 30",0,18050,616,,,,
